ID,Question,Intent
051_0018,Can I apply today?,Applications
052_0018,Where can I find the call for applicants?,Applications
053_0018,Is an English language certification required for the application?,Applications
054_0018,What should the application file contain?,Applications
055_0018,What kind of declaration forms are needed for the application?,Applications
056_0018,How many documents should my candidate file contain?,Applications
057_0018,Which is the process for applying to this program?,Applications
058_0018,How can I apply for this MSc program?,Applications
059_0018,What is the file assessment based on?,Applications
060_0018,Is it too late to apply for this program?,Applications
061_0018,Any information about the interview?,Applications
062_0018,What is the assessment of the interview based on?,Applications
063_0018,Are the applications currently being accepted?,Applications
064_0018,What should a candidate do to apply for this MSc?,Applications
065_0018,Can I apply to this program?,Applications
066_0018,Where can I download the application form from?,Applications
067_0018,Is there an application form?,Applications
068_0018,I want to apply to this MSc.,Applications
069_0018,How to apply for this program?,Applications
070_0018,How can I become a student of this program?,Applications
071_0018,How are candidates assessed?,Applications
072_0018,I want to become a student of this MSc.,Applications
073_0018,Is it still possible to apply for this MSc?,Applications
074_0018,Until which date can I send my application?,Applications
075_0018,Is it okay to send my application during the next week?,Applications
076_0018,Are all candidates called for an interview?,Applications
077_0018,Do I have to wait until next year to apply for this program?,Applications
078_0018,Should I include my publications in the application file?,Applications
079_0018,Are applications being accepted at the moment?,Applications
080_0018,Where can I find contact information?,Contact
081_0018,Is contact information available?,Contact
082_0018,Is there a telephone number where I can call for information?,Contact
083_0018,Where is the University campus?,Contact
084_0018,In which University campus is this program?,Contact
085_0018,Is there an email address for communication?,Contact
086_0018,Can I send a message to the programs' secretariat?,Contact
087_0018,Where is the office of the secretary ?,Contact
088_0018,Which is the address of the university?,Contact
089_0018,Which days and hours can I call for information?,Contact
090_0018,Is there a map for the location of the campus?,Contact
091_0018,Where is the campus located?,Contact
092_0018,Can I contact this MSc?,Contact
093_0018,Where can I find additional information about this program?,Contact
094_0018,Can you give me a phone number to contact you?,Contact
095_0018,Which is the location of the university campus?,Contact
096_0018,Is there a form for contact?,Contact
097_0018,In which building is the MSc secretariat?,Contact
098_0018,Is this program held in the University Campus II?,Contact
099_0018,Where is the university?,Contact
100_0018,Can I have the contact info?,Contact
101_0018,Is there any contact info available?,Contact
102_0018,Is the campus in Egaleo?,Contact
103_0018,Where can I ask some questions?,Contact
104_0018,Who can I contact for further information?,Contact
105_0018,Is the university near any means of transportation?,Contact
106_0018,Is there an email to contact?,Contact
107_0018,Can I talk to a person?,Contact
108_0018,Are the courses taught in building Z?,Contact
109_0018,Is petrou ralli & thivon 250 the correct address?,Contact
110_0018,Is this campus near Thivon?,Contact
111_0018,Is this university near a metro station? ,Contact
112_0018,Where can I find a map that shows the location of the university?,Contact
113_0018,Is it possible to give me some information that is not included in the site?,Contact
114_0018,"I have a problem concerning the application, can I talk to someone that can help?",Contact
115_0018,In which address is the university located?,Contact
116_0018,Can you give me the email address of this MSc?,Contact
117_0018,Is there a way to learn more details about this program?,Contact
118_0018,During which days and hours is it possible to contact you via phone?,Contact
119_0018,Which are the secretariat opening hours?,Contact
120_0018,Where can I find the course curriculum?,Curriculum
121_0018,What are the subjects studied in semester A?,Curriculum
122_0018,What subjects are taught during semester B?,Curriculum
123_0018,Is there a fourth semester?,Curriculum
124_0018,Can I have some information about the subjects taught in this program?,Curriculum
125_0018,Are mathematics included in the courses?,Curriculum
126_0018,Can I chose between different courses?,Curriculum
127_0018,How many courses are required for each minor?,Curriculum
128_0018,Which are the minors a student can choose from?,Curriculum
129_0018,Are there any courses in semester c?,Curriculum
130_0018,How many courses are being taught in this MSc?,Curriculum
131_0018,Is there a course about robotics?,Curriculum
132_0018,Is an MSc thesis required for this program? ,Curriculum
133_0018,How many semesters is the duration of the program?,Curriculum
134_0018,Which courses are included in the 'Autonomous systems' minor?,Curriculum
135_0018,What kind of courses does each semester include?,Curriculum
136_0018,During which semester can I choose a minor?,Curriculum
137_0018,Is there a description of the courses?,Curriculum
138_0018,Can I have the description of each course?,Curriculum
139_0018,What is the course AIDL_A01 about?,Curriculum
140_0018,What about the projects for each course?,Curriculum
141_0018,Are neural networks taught?,Curriculum
142_0018,Is students' performance assessment based on projects?,Curriculum
143_0018,What will the project for course AIDL_B_SC01 be about?,Curriculum
144_0018,Where can i find information about the projects?,Curriculum
145_0018,What kind of courses does the first semester include?,Curriculum
146_0018,During which semester can I choose my minor?,Curriculum
147_0018,Are there any elective courses available?,Curriculum
148_0018,How many elective courses should I choose? ,Curriculum
149_0018,What is being studied in the course Natural Language Processing with Deep Learning?,Curriculum
150_0018,What is the course 'Wearable and affective computing' about?,Curriculum
151_0018,Where can I find the courses that this program includes?,Curriculum
152_0018,Info for the course AIDL_B_CS02?,Curriculum
153_0018,Is an MSc Thesis mandatory?,Curriculum
154_0018,Which courses are included in each minor?,Curriculum
155_0018,Is natural language processing being taught in this program?,Curriculum
156_0018,Can I have some information about both minors?,Curriculum
157_0018,Will I have to attend any courses during the last semester?,Curriculum
158_0018,Is the third semester solely focused on the MSc Thesis?,Curriculum
159_0018,I would like to have a look at the content of each course.,Curriculum
160_0018,Where can I find the winter semester schedule?,Schedule
161_0018,Is the schedule for this semester available?,Schedule
162_0018,Is there a room planning available for the winter semester?,Schedule
163_0018,Which is the current room planning?,Schedule
164_0018,Can you send me the spring semester schedule?,Schedule
165_0018,Which days are the courses being conducted?,Schedule
166_0018,Can I have the week schedule?,Schedule
167_0018,Which days and hours is the course AIDL_B_AS03 being taught?,Schedule
168_0018,Which days and hours can I attend the signal processing course?,Schedule
169_0018,Which day is Wearable and Affective Computing scheduled to be taught?  ,Schedule
170_0018,Which courses are conducted every Monday?,Schedule
171_0018,Are any courses scheduled during christmas?,Schedule
172_0018,When do the christmas holidays begin?,Schedule
173_0018,When is the examination period scheduled to be?,Schedule
174_0018,What hours are the courses taught?,Schedule
175_0018,Are the courses conducted in the morning?,Schedule
176_0018,Are any courses scheduled for this Friday?,Schedule
177_0018,When will the examination be conducted this semester?,Schedule
178_0018,How many days each week do I need to attend the courses?,Schedule
179_0018,How many courses are scheduled for each day?,Schedule
180_0018,Where is AIDL_B_AS03 taught?,Schedule
181_0018,In which room is the course Artificial Intelligence & Biometrics conducted?,Schedule
182_0018,Where should I go to attend the AIDL_B01 course?,Schedule
183_0018,In which rooms will the courses take place?,Schedule
184_0018,Is AIDL_B02 taught in ZA215?,Schedule
185_0018,Which schedules are currently available? ,Schedule
186_0018,Is there a schedule for this winter semester?,Schedule
187_0018,Are there any schedules for spring semester?,Schedule
188_0018,"I want to attend AIDL_B_AS01, where is the course being taught?",Schedule
189_0018,Are any courses taught in ZB109?,Schedule
190_0018,When and where does the course Advanced control & robotic systems take place each week?,Schedule
191_0018,How many weeks does this semester last?,Schedule
192_0018,Are any courses scheduled for Monday 30 January 2023?,Schedule
193_0018,When is the examination period?,Schedule
194_0018,When will the exams begin?,Schedule
195_0018,Is Thursday 2 February 2023 included in the examination period?,Schedule
196_0018,How many weeks will the examination last?,Schedule
197_0018,When does the current semester end?,Schedule
198_0018,Is AIDL_B01 taught on Fridays?,Schedule
199_0018,Which courses will I attend this Tuesday?,Schedule
200_0018,Where are the available documents for this MSc?,Documents
201_0018,Is there an application form for modifying the selected courses?,Documents
202_0018,How can I change or modify my courses?,Documents
203_0018,Where can I find the application for extending the submission of MSc thesis?,Documents
204_0018,Do I need to fill a form for extending the submission of my thesis?,Documents
205_0018,How can I apply for semester extension for for submission of the MSc Thesis?,Documents
206_0018,How can I be given extra time for submitting my Thesis?,Documents
207_0018,Do I need to complete an application for the graduation?,Documents
208_0018,Can I have the application for graduation form?,Documents
209_0018,Is the application that is required for the graduation available?,Documents
210_0018,What is an assignment's cover page?,Documents
211_0018,Where can I find the assignments' cover page?,Documents
212_0018,Can you send me the assignment cover page template?,Documents
213_0018,How can I make a thesis proposal?,Documents
214_0018,Where should I state the title of my thesis?,Documents
215_0018,Which is the application form for the MSc thesis?,Documents
216_0018,Where can I find the Thesis application and proposal form?,Documents
217_0018,How is the MSc Thesis evaluated?,Documents
218_0018,Can I have the document for the evaluation for MSc Thesis?,Documents
219_0018,What is the evaluation of the thesis based on?,Documents
220_0018,Do I need to fill a form to submit my Thesis?,Documents
221_0018,Where is the form for Thesis submission?,Documents
222_0018,Which document is used for submitting a thesis for evaluation?,Documents
223_0018,Where can I find info about the MSc authorization?,Documents
224_0018,Which documents will I need for submitting my assignments and thesis?,Documents
225_0018,Regulation for fees waiver?,Documents
226_0018,Where can I find the regulation documents?,Documents
227_0018,Can you send me the MSc study regulation?,Documents
228_0018,"I want to take an extra semester for my Thesis, are there any documents for this purpose? ",Documents
229_0018,How will my Thesis be evaluated?,Documents
230_0018,How can I change the courses I selected?,Documents
231_0018,How can I modify my courses?,Documents
232_0018,"I made a mistake and selected the wrong course, what can I do?",Documents
233_0018,Is there something I can do to change some of my courses?,Documents
234_0018,Is it possible to change the courses I selected?,Documents
235_0018,Should I have a cover page for my assignment?,Documents
236_0018,Where can I find the assignment cover page form?,Documents
237_0018,Is there a cover page form?,Documents
238_0018,Which is the maximum number of students that can attend this program each year?,Documents
239_0018,Is there a way to modify the courses I selected?,Documents
240_0018,Are there any tuition fees?,Fees
241_0018,Can I attend this program for free?,Fees
242_0018,How much is the cost of this program?,Fees
243_0018,What are the fees for studying in this program?,Fees
244_0018,How much money does this MSc cost?,Fees
245_0018,Is it possible to pay my fees in instalments?,Fees
246_0018,Which is the total amount of fees for this program?,Fees
247_0018,When should the fee installments be paid?,Fees
248_0018,What is the cost of each semester?,Fees
249_0018,Are there any tuition fee waivers?,Fees
250_0018,How many students can be offered a tuition fee waiver?,Fees
251_0018,How many euros is each fee installment? ,Fees
252_0018,How many tuition fee instalments will there be?,Fees
253_0018,Do I have to pay the fee installments at the beginning of each semester?,Fees
254_0018,When should I pay the first fee instalment?,Fees
255_0018,How much money should I pay to attend the first semester?,Fees
256_0018,When are the tuition fees scheduled to be paid? ,Fees
257_0018,Are there any instructions for the tuition fee payments?,Fees
258_0018,Does this MSc have tuition fees?,Fees
259_0018,Can you inform me about the fees?,Fees
260_0018,Can I pay each semester a part of the fees?,Fees
261_0018,Can I pay in installments?,Fees
262_0018,Is this MSc expensive?,Fees
263_0018,How much does this program cost?,Fees
264_0018,How many fee instalments should I pay each semester?,Fees
265_0018,What if someone can't afford the fees?,Fees
266_0018,Will I have to pay the first installment at the begining of semester A?,Fees
267_0018,How much does tuition cost?,Fees
268_0018,Which is the total cost of this MSc program?,Fees
269_0018,Can you please give me some information about the tuition fees?,Fees
270_0018,Are there any announcements concerning the tuition fees?,Fees
271_0018,Do I need to have more than 5000 euros to attend this program?,Fees
272_0018,Are there any costs to study to this program?,Fees
273_0018,How much money will this MSc cost me?,Fees
274_0018,When are the fee installments scheduled to be paid?,Fees
275_0018,Is this MSc free?,Fees
276_0018,Based on which criteria are the fee waivers offered to students?,Fees
277_0018,What is the tuition for this MSc?,Fees
278_0018,Are there any fee installments to be payed during the second semester?,Fees
279_0018,Are all the installments equal to 1000 euros?,Fees
280_0018,Who are the instructors of this program?,Instructors
281_0018,Who are the professors of this MSc?,Instructors
282_0018,Where can I find information about the instructors?,Instructors
283_0018,How many instructors does this program have?,Instructors
284_0018,Can I see the research work of my instructors?,Instructors
285_0018,Where can I find the instructors' personal page?,Instructors
286_0018,Can I contact an instructor?,Instructors
287_0018,Are there contact info for each instructor?,Instructors
288_0018,Can I send an email to Professor Patrikakis? ,Instructors
289_0018,Where can I find information about the research conducted by Mr Matsopoulos?,Instructors
290_0018,Which are the courses taught by Mr Kasnesis?,Instructors
291_0018,How can I contact an instructor?,Instructors
292_0018,Where are the email addresses of the instructors?,Instructors
293_0018,How can I find my instructors' work at google scholar?,Instructors
294_0018,In which field is the research work of Mrs Rangoussi focused?,Instructors
295_0018,Where can I find my instructors' LinkedIn profiles?,Instructors
296_0018,Does Mr Papadopoulos teach the course 'Mathematics for Machine Learning'?,Instructors
297_0018,Information about the instructors' background?,Instructors
298_0018,Can you give me some info about the instructors?,Instructors
299_0018,Where can I find info about my professors?,Instructors
300_0018,Are the publications of each instructor available?,Instructors
301_0018,Where can I find the email address of my professors?,Instructors
302_0018,Is Mr Papageorgas' personal page available?,Instructors
303_0018,Where did my professors study?,Instructors
304_0018,Is there a phone number to contact Mr Mitilineos?,Instructors
305_0018,Can I see the instructors of this program?,Instructors
306_0018,Is Georgios Priniotakis an instructor?,Instructors
307_0018,Is Michalis Feidakis among the instructors of this MSc?,Instructors
308_0018,Which are the lecturers of this program?,Instructors
309_0018,Is Mr Demetrios Cantzos a lecturer?,Instructors
310_0018,Are there any courses taught by Constantinos Psomopoulos?,Instructors
311_0018,Can I see the publications of George Matsopoulos?,Instructors
312_0018,Where can I find some information about Ioannis Kakkos's research projects?,Instructors
313_0018,Can you send me info about Dimitrios Kogias?,Instructors
314_0018,Which courses does Mr Nikolaou teach?,Instructors
315_0018,Where can I find the instructors and the courses that each teaches?,Instructors
316_0018,Are any google scholar web pages available with the research of our instructors?,Instructors
317_0018,Is Michail Papoutsidakis an instructor of this MSc program?,Instructors
318_0018,Which courses does Dimitrios Piromalis teach?,Instructors
319_0018,Which instructors teach the courses of this MSc?,Instructors
320_0018,Who are the invited lecturers?,Invited
321_0018,Can I have some information about the invited lecturers?,Invited
322_0018,Will there be any invited lecturers?,Invited
323_0018,Where can I find info about an invited lecturer?,Invited
324_0018,"Except for our instructors, who else will be giving lectures?",Invited
325_0018,Will there be any lectures given by lecturers from other universities?,Invited
326_0018,Can you give me some info about the background of the invited lectures?,Invited
327_0018,Which invited lecturer gave a lecture this week?,Invited
328_0018,Will Elon Musk be invited for a lecture?,Invited
329_0018,Can I send an email to an invited lecturer?,Invited
330_0018,Is there a way to contact an invited lecturer?,Invited
331_0018,Can you give me Mrs Neeli R. Prasad mail? ,Invited
332_0018,Can I find Mr San Murugesan on LinkedIn?,Invited
333_0018,Is there any info about invited lecturers' work?,Invited
334_0018,Who are the guest lecturers?,Invited
335_0018,Do invited lecturers have a website?,Invited
336_0018,Can you send me the research work of Sorin Adam Matei?,Invited
337_0018,Is Jim Kyung-Soo Liew one of the invited lecturers?,Invited
338_0018,Can I contact a guest lecturer?,Invited
339_0018,What is Mr Saeid Abolfazli's research focused on?,Invited
340_0018,Can I send a message to Mr Spyros Polykalas?,Invited
341_0018,Does this program have any guest lecturers?,Invited
342_0018,Where can I learn more about an invited lecturer?,Invited
343_0018,Which of the invited lecturers gave a lecture about energy? ,Invited
344_0018,Can you tell me the name of an invited lecturer?,Invited
345_0018,I want to learn more about the research work of Vassilios Tzerpos.,Invited
346_0018,Is there a page about the invited lecturers?,Invited
347_0018,How can I learn more about the work of guest lecturers?,Invited
348_0018,Is Vassilios Tzerpos among the invited lecturers?,Invited
349_0018,I would like to contact an invited lecturer if possible.,Invited
350_0018,Can I have an email address to send a message to a guest lecturer?,Invited
351_0018,Are there many lecturers to be invited?,Invited
352_0018,"Besides the course instructors, who else gives lectures?",Invited
353_0018,Are there any lectures scheduled to be given by invited lecturers?,Invited
354_0018,Where can I find information concerning the guest lecturers?,Invited
355_0018,"I forgot the name of an invited lecturer, can you help?",Invited
356_0018,Is it possible to contact a guest lecturer?,Invited
357_0018,Can I have some information about Nikos Christakis?,Invited
358_0018,Can you send me some info concerning the career of a guest lecturer?,Invited
359_0018,Where can I find the research work of a guest lecturer?,Invited
360_0018,Where can I find my grades?,Registry
361_0018,How to see if I passed the exams?,Registry
362_0018,Are the exam results announced?,Registry
363_0018,Where can I see if I passed my exams?,Registry
364_0018,Where can I see which courses I have selected?,Registry
365_0018,How can I find my student number?,Registry
366_0018,Can I see in which examination period I passed AIDL_A03?,Registry
367_0018,Which courses have I passed?,Registry
368_0018,In which courses have I succeed in the exams?,Registry
369_0018,Did I fail at any course?,Registry
370_0018,Is there a page where I can find my info as a student of this MSc?,Registry
371_0018,Can I have a certificate of studies? ,Registry
372_0018,How many courses I have passed?,Registry
373_0018,Was my grade in course AIDL_B_CS02 better than 9.5?,Registry
374_0018,In which course did I get the best grade?,Registry
375_0018,In which examination period did I pass AIDL_A03 course?,Registry
376_0018,Can I see the average score of my grades?,Registry
377_0018,In which courses did I fail?,Registry
378_0018,Can I find the exact date that I was examined in each course?,Registry
379_0018,Is there a way to obtain a certificate of my studies?,Registry
380_0018,Where can I select my elective courses?,Registry
381_0018,I want to select elective courses.,Registry
382_0018,Where should I go to select the courses of the minor I chose?,Registry
383_0018,How can I check my personal data?,Registry
384_0018,"I forgot my student ID, where can I find it?",Registry
385_0018,Which is my student id?,Registry
386_0018,Which semester did I start attending this MSc?,Registry
387_0018,Where can I ask for a certificate of studies?,Registry
388_0018,Is there a way to get a certificate with the grades of each course?,Registry
389_0018,Where can I find a certificate that includes the scores for each of my courses?,Registry
390_0018,Can I have a certificate for attending this MSc?,Registry
391_0018,Can I ask for a certificate online?,Registry
392_0018,Where can I see my scores?,Registry
393_0018,Is there a way to check my student performance?,Registry
394_0018,In which course did I get the highest score?,Registry
395_0018,Did I succeed in AIDL_A01 during the spring exam period?,Registry
396_0018,Which semester am I currently attending?,Registry
397_0018,Is there a way to check if a student is active or inactive?,Registry
398_0018,Which of my courses are compulsory?,Registry
399_0018,Is there a way to check if I selected the right elective courses?,Registry
001_0019,When are the Applicationss for the aidl program open?,Applications
002_0019,Is the Applications for the master open?,Applications
003_0019,Applications date,Applications
004_0019,When is the last date to submit my Applications?,Applications
005_0019,Will there be an extension for aidl Applicationss?,Applications
006_0019,Applications deadline,Applications
007_0019,When to apply for AIDL,Applications
008_0019,Until when can I apply for the AIDL MSc program?,Applications
009_0019,When will the Applicationss be open?,Applications
0010_0019,When is the starting date of Applicationss?,Applications
0011_0019,What is the Applications process?,Applications
0012_0019,What documents do I need to apply,Applications
0013_0019,How to complete my Applications?,Applications
0014_0019,What is the Applications procedure?,Applications
0015_0019,Where can I find the Applications form?,Applications
0016_0019,Do I need a form to apply?,Applications
0017_0019,What are the files needed to complete my Applications?,Applications
0018_0019,Do I need a CV for my Applications?,Applications
0019_0019,What level of English is required for me to apply?,Applications
0020_0019,Do I need an ID to apply?,Applications
0021_0019,Is there a minimum GPA policy for applicants?,Applications
0022_0019,Where can I upload my Applications documents?,Applications
0023_0019,Is there an Applications form available?,Applications
0024_0019,Where can I find Applications instructions?,Applications
0025_0019,Applications Form,Applications
0026_0019,Link for Applicationss,Applications
0027_0019,How to apply,Applications
0028_0019,Where can I find Applications details?,Applications
0029_0019,Download Applications form,Applications
0030_0019,When is the end date of Applications?,Applications
0031_0019,Where can I find contact information?,Contact
0032_0019,How can I contact you?,Contact
0033_0019,Where is the program located?,Contact
0034_0019,What is the location of the program?,Contact
0035_0019,Are there any social media for the program?,Contact
0036_0019,What is the program's address,Contact
0037_0019,What is the program's email address,Contact
0038_0019,In which building is the program being conducted?,Contact
0039_0019,What is the phone number of the program?,Contact
0040_0019,Where can I leave a message for the program admin?,Contact
0041_0019,Contact box for program ,Contact
0042_0019,Open hours of program,Contact
0043_0019,Can I reach out through facebook?,Contact
0044_0019,Can I reach out through Twitter?,Contact
0045_0019,Can I find you on Linkedin?,Contact
0046_0019,Days that registrar's office is open,Contact
0047_0019,When is the registrar's office available?,Contact
0048_0019,How to commute in order to visit the program's building,Contact
0049_0019,Ways to contact registrar's office,Contact
0050_0019,Contact details,Contact
0051_0019,How to reach out for a question?,Contact
0052_0019,Phone number of MSc,Contact
0053_0019,How many hours a day is the program open?,Contact
0054_0019,AIDL contact info,Contact
0055_0019,Can I have the program's contact details,Contact
0056_0019,Can I speak directly with a person to ask some questions?,Contact
0057_0019,Hi I am interested in the program. Can someone contact me?,Contact
0058_0019,What are the available ways to contact with the program's admin,Contact
0059_0019,AIDL contact details,Contact
0060_0019,AIDL working hours,Contact
0061_0019,List of available courses,Curriculum
0062_0019,How many semesters does the program have?,Curriculum
0063_0019,AIDL course list,Curriculum
0064_0019,How many courses are in the first semester?,Curriculum
0065_0019,How many courses are in the second semester?,Curriculum
0066_0019,Is there a thesis on this program?,Curriculum
0067_0019,In which semester is the thesis?,Curriculum
0068_0019,List of courses,Curriculum
0069_0019,Where can I find all the optional courses available?,Curriculum
0070_0019,Optional courses of first semester?,Curriculum
0071_0019,Optional courses of second semester?,Curriculum
0072_0019,Which are the compulsory courses per semester?,Curriculum
0073_0019,How many deep learning courses are in the program?,Curriculum
0074_0019,How many elective courses can I choose?,Curriculum
0075_0019,What are the elective courses of the program?,Curriculum
0076_0019,How many ECTS can I acquire from each course?,Curriculum
0077_0019,What courses do I need to select in order to get a minor in autonomous systems,Curriculum
0078_0019,What courses do I need to select in order to get a minor in cognitive systems,Curriculum
0079_0019,List of courses per semester,Curriculum
0080_0019,How many courses are in the third semester?,Curriculum
0081_0019,How many labs are in the program?,Curriculum
0082_0019,Where can I find details about the program's courses?,Curriculum
0083_0019,Where can I find details aboit the program's ECTS credits?,Curriculum
0084_0019,How many courses are available per semester?,Curriculum
0085_0019,Are there machine learning-related courses in the program?,Curriculum
0086_0019,Does this program offer a thesis?,Curriculum
0087_0019,Does this program has optional courses?,Curriculum
0088_0019,Where can I find the total number of semesters for this program?,Curriculum
0089_0019,Where can I find the optional courses that I need to take in order to get a minor?,Curriculum
0090_0019,Program's curriculum,Curriculum
0091_0019,How to apply for the graduation?,Documents
0092_0019,Where can I find the graduation Applications form?,Documents
0093_0019,Is there a graduation form?,Documents
0094_0019,I would like to do a course modification. Where can I find a form?,Documents
0095_0019,How to modify a course selection?,Documents
0096_0019,Is there a course modification form?,Documents
0097_0019,How can I apply for a thesis extension?,Documents
0098_0019,Is there a form for thesis extension?,Documents
0099_0019,Where can I apply for extending my thesis submission deadline?,Documents
0100_0019,Is there an assignment cover page template?,Documents
0101_0019,Where can I find the assignment cover page template ?,Documents
0102_0019,Thesis Applications form,Documents
0103_0019,Where can I find the thesis proposal template?,Documents
0104_0019,Is there an MSc thesis Applications form?,Documents
0105_0019,Where can I find a list of all the available template forms? ,Documents
0106_0019,Where can I find a list of all the supplementary documents that I need to submit along with my thesis ? ,Documents
0107_0019,Where can I find the regulation documents of this program?,Documents
0108_0019,Who is eligible for tuition and fees waiver ?,Documents
0109_0019,Document with conditions for tuition and fee waiver,Documents
0110_0019,MSc thesis regulation documents,Documents
0111_0019,Link for thesis proposal template,Documents
0112_0019,Link for graduation form,Documents
0113_0019,Link for thesis submission extension ,Documents
0114_0019,Link for MSc thesis Applications,Documents
0115_0019,Link for changing selected courses,Documents
0116_0019,How to change courses that I already selected,Documents
0117_0019,Conditions for tuition waiver,Documents
0118_0019,Where can I apply for graduation?,Documents
0119_0019,Link for thesis extension,Documents
0120_0019,Link for all available documents,Documents
0121_0019,How much does the program cost?,Fees
0122_0019,What is the price for the MSc program?,Fees
0123_0019,Tuition fees of program,Fees
0124_0019,Is there an installment option for tuition fees?,Fees
0125_0019,Where can I see the installment plan for this program?,Fees
0126_0019,How much is the installment for the first semester?,Fees
0127_0019,What is the total amount that I need to pay for this master program?,Fees
0128_0019,Where can I find information about the tuition fees?,Fees
0129_0019,Can I pay with installments ?,Fees
0130_0019,What is the cost of the program?,Fees
0131_0019,What is the overall cost for this master?,Fees
0132_0019,What are the tuition fees of this master?,Fees
0133_0019,How much will this master cost me?,Fees
0134_0019,Price of master,Fees
0135_0019,How many installments can I use for paying this program?,Fees
0136_0019,Can I pay for this program on a monthly basis?,Fees
0137_0019,Fee information of this program,Fees
0138_0019,MSc program price,Fees
0139_0019,Total cost for the MSc,Fees
0140_0019,Is there an installment plan for this program?,Fees
0141_0019,What is the installment plan for this program?,Fees
0142_0019,Where can I find information about the instructors of this program?,Instructors
0143_0019,Information about Charalampos Z. Patrikakis,Instructors
0144_0019,Information about Christos Drosos,Instructors
0145_0019,Information about Demetrios Cantzos,Instructors
0146_0019,Information about Dimitrios Kogias,Instructors
0147_0019,Information about Dimitrios Piromalis,Instructors
0148_0019,Information about George Matsopoulos,Instructors
0149_0019,Information about Georgios Priniotakis,Instructors
0150_0019,Information about Grigorios Nikolaou,Instructors
0151_0019,Information about Ioannis Kakkos,Instructors
0152_0019,Information about Kaminaris Stavros,Instructors
0153_0019,Information about Maria Rangoussi,Instructors
0154_0019,Information about Michail Papoutsidakis,Instructors
0155_0019,Information about Michalis Feidakis,Instructors
0156_0019,Information about Nelly Leligou,Instructors
0157_0019,Information about Panagiotis Kasnesis,Instructors
0158_0019,Information about Papageorgas Panagiotis,Instructors
0159_0019,Information about Paraskevi Zacharia,Instructors
0160_0019,Information about Pericles Papadopoulos,Instructors
0161_0019,Information about Psomopoulos Constantinos,Instructors
0162_0019,Information about Savvas Vassiliadis,Instructors
0163_0019,Information about Stelios Mitilineos,Instructors
0164_0019,Information about Theodore Ganetsos,Instructors
0165_0019,Contact details of Charalampos Z. Patrikakis,Instructors
0166_0019,Contact details of Christos Drosos,Instructors
0167_0019,Contact details of Demetrios Cantzos,Instructors
0168_0019,Contact details of Dimitrios Kogias,Instructors
0169_0019,Contact details of Dimitrios Piromalis,Instructors
0170_0019,Contact details of George Matsopoulos,Instructors
0171_0019,Contact details of Georgios Priniotakis,Instructors
0172_0019,Contact details of Grigorios Nikolaou,Instructors
0173_0019,Contact details of Ioannis Kakkos,Instructors
0174_0019,Contact details of Kaminaris Stavros,Instructors
0175_0019,Contact details of Maria Rangoussi,Instructors
0176_0019,Contact details of Michail Papoutsidakis,Instructors
